Date,Time,pres (psi),temp (f)
12/19/2019,02:30:00,12.4748,46.728
12/19/2019,03:00:00,12.4732,46.728
12/19/2019,03:30:00,12.4748,46.728
12/19/2019,04:00:00,12.4779,46.728
12/19/2019,04:30:00,12.4763,46.728
12/19/2019,05:00:00,12.4732,46.728
12/19/2019,05:30:00,12.4779,46.728
12/19/2019,06:00:00,12.484,46.728
12/19/2019,06:30:00,12.484,46.728
12/19/2019,07:00:00,12.487,46.728
12/19/2019,07:30:00,12.4962,46.728
12/19/2019,08:00:00,12.4976,46.728
12/19/2019,08:30:00,12.4992,46.728
12/19/2019,09:00:00,12.5099,46.728
12/19/2019,09:30:00,12.5114,46.728
12/19/2019,10:00:00,12.513,46.728
12/19/2019,10:30:00,12.516,46.728
12/19/2019,11:00:00,12.5175,46.728
12/19/2019,11:30:00,12.5083,46.728
12/19/2019,12:00:00,12.5114,46.728
12/19/2019,12:30:00,12.5099,46.728
12/19/2019,13:00:00,12.5053,46.728
12/19/2019,13:30:00,12.5038,46.728
12/19/2019,14:00:00,12.5069,46.728
12/19/2019,14:30:00,12.5083,46.728
12/19/2019,15:00:00,12.5144,46.728
12/19/2019,15:30:00,12.516,46.728
12/19/2019,16:00:00,12.5191,46.728
12/19/2019,16:30:00,12.5221,46.728
12/19/2019,17:00:00,12.5221,46.728
12/19/2019,17:30:00,12.5252,46.728
12/19/2019,18:00:00,12.5266,46.728
12/19/2019,18:30:00,12.5236,46.728
12/19/2019,19:00:00,12.5282,46.728
12/19/2019,19:30:00,12.5298,46.728
12/19/2019,20:00:00,12.5329,46.728
12/19/2019,20:30:00,12.5343,46.728
12/19/2019,21:00:00,12.5359,46.728
12/19/2019,21:30:00,12.5374,46.728
12/19/2019,22:00:00,12.5359,46.728
12/19/2019,22:30:00,12.5374,46.728
12/19/2019,23:00:00,12.5404,46.728
12/19/2019,23:30:00,12.5374,46.728
12/20/2019,00:00:00,12.5343,46.728
12/20/2019,00:30:00,12.5389,46.728
12/20/2019,01:00:00,12.5329,46.728
12/20/2019,01:30:00,12.5343,46.728
12/20/2019,02:00:00,12.5389,46.728
12/20/2019,02:30:00,12.542,46.728
12/20/2019,03:00:00,12.5389,46.728
12/20/2019,03:30:00,12.5343,46.728
12/20/2019,04:00:00,12.5374,46.728
12/20/2019,04:30:00,12.5343,46.728
12/20/2019,05:00:00,12.5298,46.728
12/20/2019,05:30:00,12.5298,46.728
12/20/2019,06:00:00,12.5343,46.728
12/20/2019,06:30:00,12.5343,46.728
12/20/2019,07:00:00,12.5374,46.728
12/20/2019,07:30:00,12.5434,46.728
12/20/2019,08:00:00,12.545,46.728
12/20/2019,08:30:00,12.5495,46.728
12/20/2019,09:00:00,12.5465,46.728
12/20/2019,09:30:00,12.5495,46.728
12/20/2019,10:00:00,12.5511,46.728
12/20/2019,10:30:00,12.5511,46.728
12/20/2019,11:00:00,12.545,46.728
12/20/2019,11:30:00,12.5404,46.728
12/20/2019,12:00:00,12.5329,46.728
12/20/2019,12:30:00,12.5252,46.728
12/20/2019,13:00:00,12.5221,46.728
12/20/2019,13:30:00,12.5191,46.728
12/20/2019,14:00:00,12.5144,46.728
12/20/2019,14:30:00,12.516,46.728
12/20/2019,15:00:00,12.516,46.728
12/20/2019,15:30:00,12.516,46.728
12/20/2019,16:00:00,12.5144,46.728
12/20/2019,16:30:00,12.516,46.728
12/20/2019,17:00:00,12.5153,46.548
12/20/2019,17:30:00,12.5205,46.728
12/20/2019,18:00:00,12.5175,46.728
12/20/2019,18:30:00,12.5153,46.548
12/20/2019,19:00:00,12.5144,46.728
12/20/2019,19:30:00,12.5144,46.728
12/20/2019,20:00:00,12.5099,46.728
12/20/2019,20:30:00,12.5069,46.728
12/20/2019,21:00:00,12.5053,46.728
12/20/2019,21:30:00,12.5069,46.728
12/20/2019,22:00:00,12.5092,46.548
12/20/2019,22:30:00,12.5099,46.728
12/20/2019,23:00:00,12.5053,46.728
12/20/2019,23:30:00,12.5017,46.548
12/21/2019,00:00:00,12.5017,46.548
12/21/2019,00:30:00,12.494,46.548
12/21/2019,01:00:00,12.4909,46.548
12/21/2019,01:30:00,12.4925,46.548
12/21/2019,02:00:00,12.4909,46.548
12/21/2019,02:30:00,12.4879,46.548
12/21/2019,03:00:00,12.4848,46.548
12/21/2019,03:30:00,12.4833,46.548
12/21/2019,04:00:00,12.4788,46.548
12/21/2019,04:30:00,12.4741,46.548
12/21/2019,05:00:00,12.468,46.548
12/21/2019,05:30:00,12.468,46.548
12/21/2019,06:00:00,12.4635,46.548
12/21/2019,06:30:00,12.4635,46.548
12/21/2019,07:00:00,12.4619,46.548
12/21/2019,07:30:00,12.4619,46.548
12/21/2019,08:00:00,12.4605,46.548
12/21/2019,08:30:00,12.4605,46.548
12/21/2019,09:00:00,12.4589,46.548
12/21/2019,09:30:00,12.4605,46.548
12/21/2019,10:00:00,12.4605,46.548
12/21/2019,10:30:00,12.4573,46.548
12/21/2019,11:00:00,12.4542,46.548
12/21/2019,11:30:00,12.4437,46.548
12/21/2019,12:00:00,12.439,46.548
12/21/2019,12:30:00,12.436,46.548
12/21/2019,13:00:00,12.4299,46.548
12/21/2019,13:30:00,12.4268,46.548
12/21/2019,14:00:00,12.4238,46.548
12/21/2019,14:30:00,12.4207,46.548
12/21/2019,15:00:00,12.4161,46.548
12/21/2019,15:30:00,12.4131,46.548
12/21/2019,16:00:00,12.4116,46.548
12/21/2019,16:30:00,12.41,46.548
12/21/2019,17:00:00,12.4086,46.548
12/21/2019,17:30:00,12.4055,46.548
12/21/2019,18:00:00,12.4055,46.548
12/21/2019,18:30:00,12.4055,46.548
12/21/2019,19:00:00,12.4039,46.548
12/21/2019,19:30:00,12.4009,46.548
12/21/2019,20:00:00,12.3948,46.548
12/21/2019,20:30:00,12.3932,46.548
12/21/2019,21:00:00,12.3917,46.548
12/21/2019,21:30:00,12.3856,46.548
12/21/2019,22:00:00,12.384,46.548
12/21/2019,22:30:00,12.3826,46.548
12/21/2019,23:00:00,12.378,46.548
12/21/2019,23:30:00,12.3704,46.548
12/22/2019,00:00:00,12.3674,46.548
12/22/2019,00:30:00,12.3642,46.548
12/22/2019,01:00:00,12.355,46.548
12/22/2019,01:30:00,12.3536,46.548
12/22/2019,02:00:00,12.3536,46.548
12/22/2019,02:30:00,12.3489,46.548
12/22/2019,03:00:00,12.3459,46.548
12/22/2019,03:30:00,12.3384,46.548
12/22/2019,04:00:00,12.3321,46.548
12/22/2019,04:30:00,12.323,46.548
12/22/2019,05:00:00,12.3169,46.548
12/22/2019,05:30:00,12.3124,46.548
12/22/2019,06:00:00,12.3108,46.548
12/22/2019,06:30:00,12.3078,46.548
12/22/2019,07:00:00,12.3033,46.548
12/22/2019,07:30:00,12.3047,46.548
12/22/2019,08:00:00,12.3108,46.548
12/22/2019,08:30:00,12.3138,46.548
12/22/2019,09:00:00,12.3169,46.548
12/22/2019,09:30:00,12.3276,46.548
12/22/2019,10:00:00,12.3307,46.548
12/22/2019,10:30:00,12.323,46.548
12/22/2019,11:00:00,12.3169,46.548
12/22/2019,11:30:00,12.3124,46.548
12/22/2019,12:00:00,12.3094,46.548
12/22/2019,12:30:00,12.3047,46.548
12/22/2019,13:00:00,12.3002,46.548
12/22/2019,13:30:00,12.3002,46.548
12/22/2019,14:00:00,12.3002,46.548
12/22/2019,14:30:00,12.3047,46.548
12/22/2019,15:00:00,12.3108,46.548
12/22/2019,15:30:00,12.3138,46.548
12/22/2019,16:00:00,12.3185,46.548
12/22/2019,16:30:00,12.3215,46.548
